"team","group_team","opp_team","group_opp_team","match_num_quarter","simulation"
"Switzerland","2","Argentina","3","3","72"
"Netherlands","5","Spain","8","4","72"
"Poland","2","Chile","4","1","73"
"Portugal","5","Spain","7","2","73"
"Qatar","1","Belgium","4","3","73"
"Colombia","6","Argentina","7","4","73"
"Iran","1","Spain","3","1","74"
"Uruguay","5","Wales","8","2","74"
"Germany","1","Mexico","3","3","74"
"Argentina","5","Brazil","7","4","74"
"Germany","2","Belgium","3","1","75"
"Mexico","6","Italy","7","2","75"
"France","1","Croatia","3","3","75"
"England","6","Spain","7","4","75"
"Denmark","2","Spain","4","1","76"
"Uruguay","6","Tunisia","8","2","76"
"Belgium","2","Mexico","4","3","76"
"Argentina","6","Croatia","7","4","76"
"United States","2","Brazil","4","1","77"
"Croatia","5","Colombia","8","2","77"
"Mexico","1","Portugal","4","3","77"
"France","5","Morocco","8","4","77"
"Argentina","1","Netherlands","4","1","78"
"Switzerland","5","Portugal","8","2","78"
"Italy","1","Japan","3","3","78"
"Spain","6","Mexico","7","4","78"
"Argentina","1","Brazil","4","1","79"
"Portugal","6","Denmark","7","2","79"
"Italy","1","Poland","4","3","79"
"Germany","5","France","7","4","79"
"Denmark","1","Spain","3","1","80"
"Uruguay","6","Korea Republic","8","2","80"
"Poland","1","France","3","3","80"
"Mexico","6","Belgium","8","4","80"
"France","1","Germany","3","1","81"
"Belgium","6","Uruguay","8","2","81"
"Tunisia","1","Brazil","4","3","81"
"Switzerland","5","Morocco","8","4","81"
"Switzerland","2","Uruguay","3","1","82"
"Germany","6","Mexico","7","2","82"
"Brazil","1","Spain","3","3","82"
"Denmark","5","Belgium","7","4","82"
"Argentina","1","Croatia","3","1","83"
"Germany","5","Japan","8","2","83"
"Mexico","1","Chile","3","3","83"
"France","5","Brazil","7","4","83"
"Germany","2","Poland","3","1","84"
"Iran","6","Denmark","8","2","84"
"Uruguay","2","Colombia","4","3","84"
"France","6","Portugal","8","4","84"
"Italy","2","Germany","3","1","85"
"Brazil","6","France","8","2","85"
"Portugal","1","Argentina","3","3","85"
"England","6","Colombia","8","4","85"
"France","1","Switzerland","4","1","86"
"Mexico","6","Portugal","8","2","86"
"Uruguay","2","Netherlands","3","3","86"
"Brazil","5","England","8","4","86"
"Denmark","2","Belgium","3","1","87"
"Portugal","6","Argentina","8","2","87"
"Tunisia","1","Colombia","4","3","87"
"Italy","6","Netherlands","7","4","87"
"Uruguay","1","Netherlands","4","1","88"
"Spain","5","England","8","2","88"
"Switzerland","2","Mexico","3","3","88"
"Croatia","5","France","8","4","88"
"Chile","1","Spain","3","1","89"
"Mexico","5","Brazil","8","2","89"
"Uruguay","1","Netherlands","4","3","89"
"Argentina","6","France","7","4","89"
"Italy","2","Belgium","4","1","90"
"Portugal","6","Spain","8","2","90"
"Poland","2","Australia","3","3","90"
"Netherlands","6","Croatia","8","4","90"
"Qatar","1","Tunisia","4","1","91"
"Wales","6","Portugal","7","2","91"
"Netherlands","1","France","3","3","91"
"Brazil","5","Uruguay","7","4","91"
"Chile","1","Belgium","4","1","92"
"Portugal","6","Croatia","7","2","92"
"Korea Republic","1","Argentina","3","3","92"
"Colombia","5","Brazil","7","4","92"
"United States","1","Uruguay","3","1","93"
"France","5","Netherlands","7","2","93"
"Argentina","1","Spain","3","3","93"
"Germany","5","Brazil","8","4","93"
"Croatia","1","Iran","4","1","94"
"Spain","5","Senegal","7","2","94"
"France","1","Germany","3","3","94"
"Italy","5","Argentina","7","4","94"
"Denmark","2","Netherlands","3","1","95"
"Colombia","5","Argentina","8","2","95"
"France","1","Iran","4","3","95"
"Germany","6","Italy","7","4","95"
"Uruguay","2","Spain","4","1","96"
"Mexico","5","Belgium","8","2","96"
"Senegal","1","Brazil","3","3","96"
"Argentina","6","Jamaica","8","4","96"
"Italy","2","Iran","4","1","97"
"Portugal","6","Mexico","7","2","97"
"Argentina","2","Uruguay","3","3","97"
"Germany","6","Belgium","7","4","97"
"Colombia","1","Italy","4","1","98"
"Portugal","5","Switzerland","7","2","98"
"Japan","1","Brazil","4","3","98"
"Denmark","5","Uruguay","7","4","98"
"Tunisia","2","Wales","3","1","99"
"Algeria","5","France","7","2","99"
"Belgium","1","Croatia","4","3","99"
"Netherlands","6","Denmark","8","4","99"
"Germany","1","Netherlands","4","1","100"
"Iran","6","Poland","8","2","100"
"Portugal","1","Brazil","4","3","100"
"Mexico","6","France","7","4","100"
"Denmark","2","Croatia","4","1","101"
"Senegal","6","Netherlands","8","2","101"
"Brazil","1","Germany","3","3","101"
"Mexico","6","Uruguay","8","4","101"
"Italy","2","Brazil","4","1","102"
"France","6","Netherlands","8","2","102"
"Wales","2","Argentina","3","3","102"
"Spain","6","Portugal","8","4","102"
"Qatar","1","Portugal","3","1","103"
"Belgium","6","Italy","8","2","103"
"France","2","Denmark","3","3","103"
"Uruguay","6","Spain","8","4","103"
"Mexico","1","Switzerland","4","1","104"
"Portugal","5","Denmark","7","2","104"
"England","1","Brazil","3","3","104"
"Colombia","6","Belgium","8","4","104"
"Qatar","2","Denmark","4","1","105"
"Mexico","6","Spain","8","2","105"
"Switzerland","2","Croatia","3","3","105"
"Poland","5","Netherlands","8","4","105"
"Netherlands","1","Switzerland","4","1","106"
"Denmark","6","England","8","2","106"
"Brazil","1","Spain","4","3","106"
"Colombia","6","Portugal","8","4","106"
"Italy","1","Argentina","3","1","107"
"Switzerland","5","Australia","8","2","107"
"Qatar","1","Wales","4","3","107"
"Portugal","5","Denmark","8","4","107"
"Netherlands","1","Tunisia","4","1","108"
"Colombia","6","Croatia","8","2","108"
"Belgium","1","Spain","4","3","108"
"France","5","Denmark","8","4","108"
"Uruguay","1","France","3","1","109"
